               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.029277,            0.010602,                   0,             0.99016,                   1,               0.995,             0.81176,            0.012832,           0.0037259,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.029221,            0.010794,                   0,              0.9914,                   1,               0.995,             0.79985,            0.012306,           0.0035733,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.030085,           0.0099498,                   0,             0.99019,                   1,               0.995,             0.80125,            0.010812,           0.0032997,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.029643,            0.010071,                   0,             0.98823,                   1,               0.995,             0.76075,            0.010291,           0.0032304,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.028651,            0.010245,                   0,             0.98871,                   1,               0.995,             0.76569,            0.012064,            0.003319,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.031875,           0.0099562,                   0,             0.98767,                   1,               0.995,             0.80613,            0.012267,           0.0033312,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.027675,             0.01042,                   0,             0.98742,                   1,               0.995,             0.82203,            0.012604,           0.0033553,                   0,            0.001288,            0.001288,            0.001288
                  46,             0.03201,            0.010288,                   0,             0.98877,                   1,               0.995,             0.81235,             0.01171,            0.003249,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.028912,            0.010091,                   0,             0.98986,                   1,               0.995,               0.838,            0.011399,           0.0032667,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.027902,            0.010282,                   0,             0.99033,                   1,               0.995,             0.79655,            0.010926,           0.0032647,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.027784,            0.010014,                   0,             0.99094,                   1,               0.995,             0.79658,            0.010742,           0.0032212,                   0,            0.000496,            0.000496,            0.000496
